@relation PROCESSAR_TEXTO
@attribute TEXTO_GAUCHAR_DE integer
@attribute TEXTO_GAUCHAR_COM integer
@attribute POSTAR_POR_A integer
@attribute DE_ACORDO_COM integer
@attribute DE_ANO_IR integer
@attribute EM_FINAL_DE integer
@attribute EM_DIA_DE integer
@attribute EM_FRENTE_A integer
@attribute GAUCHAR_COM_COLORAR integer
@attribute DE_EM_EM integer
@attribute DE_ANO_PASSAR integer
@attribute DONO_DE_CASA integer
@attribute EM_EM_EM integer
@attribute EM_NOITE_DE integer
@attribute EM_CASA_DE integer
@attribute POR_VOLTA_DE integer
@attribute FAZER_PARTE_DE integer
@attribute EM_EM_DE integer
@attribute EM_MANHÃ_DE integer
@attribute CAROLINO_ROCHA_COM integer
@attribute EM_TARDE_DE integer
@attribute DE_A_DE integer
@attribute DE_AGOSTO_DE integer
@attribute DE_CASA_ANO integer
@attribute DE_JULHO_DE integer
@attribute POR_BALDO_COM integer
@attribute DE_DE_EM integer
@attribute EM_INÍCIO_DE integer
@attribute TEXTO_GAUCHAR_TORRE integer
@attribute GAUCHAR_TORRE_COM integer
@attribute FINAL_DE_SEMANA integer
@attribute DE_TRÁFICO_EM integer
@attribute TEXTO_GAUCHAR_CAROLINO integer
@attribute GAUCHAR_CAROLINO_ROCHA integer
@attribute EM_FRENTE_DE integer
@attribute EM_ÁREA_DE integer
@attribute DE_TERÇA_FEIRAR integer
@attribute DE_CASA_DE integer
@attribute TRÁFICO_DE_DROGA integer
@attribute DE_OUTUBRO_DE integer
@attribute EM_RELAÇÃO_A integer
@attribute EM_BUSCA_DE integer
@attribute DE_POR_A integer
@attribute EM_DE_EM integer
@attribute DE_JUNHO_DE integer
@attribute POR_MEIO_DE integer
@attribute DE_SETEMBRO_DE integer
@attribute GAUCHAR_DE_JULHO integer
@attribute COM_INSCRIÇÃO_ABRIR integer
@attribute GAUCHAR_COM_COM integer
@attribute EM_MOMENTO_DE integer
@attribute DE_EM_DE integer
@attribute COM_TIRO_EM integer
@attribute BOCA_DE_FUMO integer
@attribute POR_A_LIXO integer
@attribute GAUCHAR_DE_AGOSTO integer
@attribute DE_DE_DE integer
@attribute A_LADO_DE integer
@attribute EM_ANO_PASSAR integer
@attribute EM_CASA_EM integer
@attribute ASSESSORIA_DE_IMPRENSA integer
@attribute DE_ANO_EM integer
@attribute GAUCHAR_DE_SETEMBRO integer
@attribute GAUCHAR_DE_JUNHO integer
@attribute CURRÍCULO_POR_PARA integer
@attribute POR_ESPAÇO_DE integer
@attribute ESPAÇO_DE_TRABALHADOR integer
@attribute GAUCHAR_DE_OUTUBRO integer
@attribute DE_BALDO_COM integer
@attribute VOLTA_DE_DE integer
@attribute EM_EM_ANO integer
@attribute DE_NÃO_SER integer
@attribute EM_FUNÇÃO_DE integer
@attribute EM_SEXTA_FEIRAR integer
@attribute DE_DE_ANO integer
@attribute DE_DE_QUARTA integer
@attribute IR_ENCONTRAR_EM integer
@attribute ATÉ_DIA_DE integer
@attribute MORADOR_DE_EM integer
@attribute DIA_DE_OUTUBRO integer
@attribute SER_FAZER_EM integer
@attribute POSTAR_POR_BALDO integer
@attribute POSTAR_POR_COM integer
@attribute A_LONGO_DE integer
@attribute EM_LOCAL_DE integer
@attribute DE_HOMICÍDIO_DE integer
@attribute DE_DROGA_EM integer
@attribute JOVEM_DE_ANO integer
@attribute ANO_IR_COM integer
@attribute EM_MADRUGADA_DE integer
@attribute DOR_DE_CABEÇA integer
@attribute VIATURA_VIATURA_VIATURA integer
@attribute DE_PREFEITURA_DE integer
@attribute REDE_DE_ESGOTO integer
@attribute ENVIAR_CURRÍCULO_POR integer
@attribute POSTAR_POR_ESPAÇO integer
@attribute DE_TRABALHADOR_A integer
@attribute A_NOITE_EM integer
@attribute EM_CASO_DE integer
@attribute EM_MEIO_A integer
@attribute classe {ESPORTE, POLICIA, PROBLEMA, TRABALHADOR}
@data
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ESPORTE
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ESPORTE
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ESPORTE
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ESPORTE
